account_id,year,month
A0001,2025,7
A0001,2025,8
A0002,2025,8
A0002,2025,9
A0002,2025,10
A0003,2025,10
A0004,2025,8
A0004,2025,9
A0004,2025,10
A0005,2025,8
A0005,2025,9
A0005,2025,10
A0006,2025,10
A0007,2025,7
A0007,2025,8
A0008,2025,10
A0009,2025,10
A0010,2025,8
A0010,2025,9
A0010,2025,10
A0011,2025,9
A0012,2025,8
A0012,2025,9
A0012,2025,10
A0013,2025,10
A0014,2025,8
A0014,2025,9
A0014,2025,10
A0015,2025,9
A0015,2025,10
A0016,2025,9
A0016,2025,10
A0017,2025,7
A0018,2025,9
A0019,2025,8
A0019,2025,9
A0019,2025,10
A0020,2025,7
A0020,2025,8
A0020,2025,9
A0020,2025,10
A0021,2025,8
A0021,2025,9
A0021,2025,10
A0022,2025,7
A0022,2025,8
A0022,2025,9
A0022,2025,10
A0023,2025,10
A0024,2025,9
A0025,2025,9
A0025,2025,10
A0026,2025,7
A0027,2025,9
A0027,2025,10
A0028,2025,7
A0028,2025,8
A0028,2025,9
A0029,2025,9
A0029,2025,10
A0030,2025,7
A0030,2025,8
A0030,2025,9
A0030,2025,10
A0031,2025,7
A0031,2025,8
A0031,2025,9
A0031,2025,10
A0032,2025,8
A0032,2025,9
A0032,2025,10
A0033,2025,8
A0033,2025,9
A0034,2025,8
A0035,2025,8
A0035,2025,9
A0035,2025,10
A0036,2025,9
A0037,2025,8
A0038,2025,10
A0039,2025,7
A0039,2025,8
A0039,2025,9
A0039,2025,10
A0040,2025,7
A0040,2025,8
A0040,2025,9
A0040,2025,10
A0041,2025,7
A0041,2025,8
A0041,2025,9
A0042,2025,8
A0043,2025,7
A0043,2025,8
A0043,2025,9
A0043,2025,10
A0044,2025,8
A0044,2025,9
A0044,2025,10
A0045,2025,9
A0045,2025,10
A0046,2025,8
A0046,2025,9
A0046,2025,10
A0047,2025,8
A0047,2025,9
A0047,2025,10
A0048,2025,8
A0048,2025,9
A0048,2025,10
A0049,2025,8
A0049,2025,9
A0049,2025,10
A0050,2025,9
A0050,2025,10
A0051,2025,7
A0051,2025,8
A0051,2025,9
A0051,2025,10
A0052,2025,8
A0052,2025,9
A0052,2025,10
A0053,2025,10
A0054,2025,9
A0055,2025,10
A0056,2025,8
A0056,2025,9
A0056,2025,10
A0057,2025,7
A0057,2025,8
A0057,2025,9
A0057,2025,10
A0058,2025,7
A0058,2025,8
A0058,2025,9
A0058,2025,10
A0059,2025,9
A0060,2025,9
A0060,2025,10
A0061,2025,10
A0062,2025,7
A0062,2025,8
A0063,2025,10
A0064,2025,10
A0065,2025,7
A0065,2025,8
A0065,2025,9
A0065,2025,10
A0066,2025,7
A0066,2025,8
A0066,2025,9
A0066,2025,10
A0067,2025,10
A0068,2025,10
A0069,2025,9
A0069,2025,10
A0070,2025,8
A0070,2025,9
A0070,2025,10
A0071,2025,9
A0071,2025,10
A0072,2025,7
A0072,2025,8
A0072,2025,9
A0072,2025,10
A0073,2025,9
A0074,2025,9
A0074,2025,10
A0075,2025,8
A0075,2025,9
A0076,2025,10
A0077,2025,8
A0077,2025,9
A0077,2025,10
A0078,2025,7
A0078,2025,8
A0078,2025,9
A0078,2025,10
A0079,2025,8
A0079,2025,9
A0080,2025,8
A0081,2025,8
A0081,2025,9
A0081,2025,10
A0082,2025,9
