gl_balance_id,year,month,branch_id,ledger_code,ledger_name,pool_name,amount
GL_CallCenterOpex_202507_HQ_6100,2025,7,HQ,6100,Call Center Salaries,CallCenterOpex,93570.61
GL_CallCenterOpex_202507_HQ_6110,2025,7,HQ,6110,Telecom Expense,CallCenterOpex,42532.1
GL_CallCenterOpex_202507_HQ_6120,2025,7,HQ,6120,Call Center Rent,CallCenterOpex,34025.68
GL_CallCenterOpex_202507_B001_6100,2025,7,B001,6100,Call Center Salaries,CallCenterOpex,108659.52
GL_CallCenterOpex_202507_B001_6110,2025,7,B001,6110,Telecom Expense,CallCenterOpex,49390.69
GL_CallCenterOpex_202507_B001_6120,2025,7,B001,6120,Call Center Rent,CallCenterOpex,39512.55
GL_CallCenterOpex_202507_B002_6100,2025,7,B002,6100,Call Center Salaries,CallCenterOpex,27679.8
GL_CallCenterOpex_202507_B002_6110,2025,7,B002,6110,Telecom Expense,CallCenterOpex,12581.73
GL_CallCenterOpex_202507_B002_6120,2025,7,B002,6120,Call Center Rent,CallCenterOpex,10065.38
GL_CallCenterOpex_202507_B003_6100,2025,7,B003,6100,Call Center Salaries,CallCenterOpex,19997.92
GL_CallCenterOpex_202507_B003_6110,2025,7,B003,6110,Telecom Expense,CallCenterOpex,9089.96
GL_CallCenterOpex_202507_B003_6120,2025,7,B003,6120,Call Center Rent,CallCenterOpex,7271.97
GL_CallCenterOpex_202507_B004_6100,2025,7,B004,6100,Call Center Salaries,CallCenterOpex,8671.44
GL_CallCenterOpex_202507_B004_6110,2025,7,B004,6110,Telecom Expense,CallCenterOpex,3941.56
GL_CallCenterOpex_202507_B004_6120,2025,7,B004,6120,Call Center Rent,CallCenterOpex,3153.25
GL_CallCenterOpex_202507_B005_6100,2025,7,B005,6100,Call Center Salaries,CallCenterOpex,76528.44
GL_CallCenterOpex_202507_B005_6110,2025,7,B005,6110,Telecom Expense,CallCenterOpex,34785.65
GL_CallCenterOpex_202507_B005_6120,2025,7,B005,6120,Call Center Rent,CallCenterOpex,27828.52
GL_CallCenterOpex_202507_B006_6100,2025,7,B006,6100,Call Center Salaries,CallCenterOpex,6154.05
GL_CallCenterOpex_202507_B006_6110,2025,7,B006,6110,Telecom Expense,CallCenterOpex,2797.3
GL_CallCenterOpex_202507_B006_6120,2025,7,B006,6120,Call Center Rent,CallCenterOpex,2237.84
GL_CallCenterOpex_202507_B007_6100,2025,7,B007,6100,Call Center Salaries,CallCenterOpex,18679.4
GL_CallCenterOpex_202507_B007_6110,2025,7,B007,6110,Telecom Expense,CallCenterOpex,8490.64
GL_CallCenterOpex_202507_B007_6120,2025,7,B007,6120,Call Center Rent,CallCenterOpex,6792.51
GL_CallCenterOpex_202507_B008_6100,2025,7,B008,6100,Call Center Salaries,CallCenterOpex,130277.39
GL_CallCenterOpex_202507_B008_6110,2025,7,B008,6110,Telecom Expense,CallCenterOpex,59217.0
GL_CallCenterOpex_202507_B008_6120,2025,7,B008,6120,Call Center Rent,CallCenterOpex,47373.6
GL_CallCenterOpex_202507_B009_6100,2025,7,B009,6100,Call Center Salaries,CallCenterOpex,2752.89
GL_CallCenterOpex_202507_B009_6110,2025,7,B009,6110,Telecom Expense,CallCenterOpex,1251.32
GL_CallCenterOpex_202507_B009_6120,2025,7,B009,6120,Call Center Rent,CallCenterOpex,1001.05
GL_CallCenterOpex_202507_B010_6100,2025,7,B010,6100,Call Center Salaries,CallCenterOpex,78070.21
GL_CallCenterOpex_202507_B010_6110,2025,7,B010,6110,Telecom Expense,CallCenterOpex,35486.46
GL_CallCenterOpex_202507_B010_6120,2025,7,B010,6120,Call Center Rent,CallCenterOpex,28389.17
GL_CallCenterOpex_202507_B011_6100,2025,7,B011,6100,Call Center Salaries,CallCenterOpex,113950.8
GL_CallCenterOpex_202507_B011_6110,2025,7,B011,6110,Telecom Expense,CallCenterOpex,51795.82
GL_CallCenterOpex_202507_B011_6120,2025,7,B011,6120,Call Center Rent,CallCenterOpex,41436.65
GL_CallCenterOpex_202507_B012_6100,2025,7,B012,6100,Call Center Salaries,CallCenterOpex,48467.02
GL_CallCenterOpex_202507_B012_6110,2025,7,B012,6110,Telecom Expense,CallCenterOpex,22030.46
GL_CallCenterOpex_202507_B012_6120,2025,7,B012,6120,Call Center Rent,CallCenterOpex,17624.38
GL_BranchOpex_202507_HQ_6200,2025,7,HQ,6200,Branch Salaries,BranchOpex,22605.4
GL_BranchOpex_202507_HQ_6210,2025,7,HQ,6210,Branch Rent,BranchOpex,8220.15
GL_BranchOpex_202507_HQ_6220,2025,7,HQ,6220,Branch Utilities,BranchOpex,6165.11
GL_BranchOpex_202507_HQ_6230,2025,7,HQ,6230,Branch Supplies,BranchOpex,4110.07
GL_BranchOpex_202507_B001_6200,2025,7,B001,6200,Branch Salaries,BranchOpex,19776.69
GL_BranchOpex_202507_B001_6210,2025,7,B001,6210,Branch Rent,BranchOpex,7191.52
GL_BranchOpex_202507_B001_6220,2025,7,B001,6220,Branch Utilities,BranchOpex,5393.64
